DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Física Médica I,4-0-4,Fenômenos Eletromagnéticos,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL);EBIO - Engenharia Biomédica (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Física Médica II,2-0-4,Física Médica I,EBIO - Engenharia Biomédica (OBR)
Física Ondulatória,3-1-4,Fenômenos Mecânicos; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Física Quântica,3-0-4,Estrutura da Matéria; Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Física Térmica,4-0-4,Fenômenos Térmicos; Funções de Uma Variável; Funções de Várias Variáveis,LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Físico-Química Experimental,0-4-6,Não há,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Fisiologia Vegetal I,4-2-3,Evolução e Diversidade de Plantas II,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Fisiologia Vegetal II,2-2-2,Evolução e Diversidade de Plantas II; Genética II; Fisiologia Vegetal I,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OBR)
Fluidos Quânticos,4-0-4,Mecânica Quântica II; Variáveis Complexas e Aplicações; Mecânica Estatística,BFIS - Bacharelado em Física (OL)
Formação do Sistema Internacional,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Formação Econômica do Brasil,4-0-4,Interpretações do Brasil,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Formação Histórica da América Latina,4-0-4,Formação do Sistema Internacional; Interpretações do Brasil,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Formação Histórica do Brasil Contemporâneo,4-0-4,Interpretações do Brasil,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Formas Diferenciais,4-0-4,Análise no Rn I; Geometria Diferencial I,BM - Bacharelado em Matemática (OL)
Fotônica,3-1-4,Eletromagnetismo Aplicado,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OL)
Funções de Uma Variável,4-0-6,Bases Matemáticas,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Funções de Várias Variáveis,4-0-4,Geometria Analítica; Funções de Uma Variável,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Funções de Variável Complexa,6-0-5,Cálculo Vetorial e Tensorial; Análise Real II; Topologia,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL)
Funções e Reações Orgânicas,4-0-6,Não há,BQ - Bacharelado em Química (OBR);EENE - Engenharia de Energia (OL);LQ - Licenciatura em Química (OBR);EMAT - Engenharia de Materiais (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Funções Especiais e Teoria de Representações de Grupos,4-0-4,Equações Diferenciais Parciais,BM - Bacharelado em Matemática (OL)
Fundamentos da Biotecnologia,2-0-2,Não há,BBT - Bacharelado em Biotecnologia (OBR)
Fundamentos da Computação Semântica,3-1-4,Processamento de Informação em Línguas Naturais,EINF - Engenharia de Informação (OL)
Fundamentos da Lógica Modal,4-0-4,Lógica Básica,LFIL - Licenciatura em Filosofia (OL)
Fundamentos da Mecânica dos Fluidos,4-0-4,Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Interações Atômicas e Moleculares; Física do Contínuo; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OL)
Fundamentos da Relatividade Geral,4-0-4,Teoria da Relatividade,BFIS - Bacharelado em Física (OL)
Fundamentos de Álgebra,2-2-4,Teoria Aritmética dos Números,LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Análise,2-2-4,Funções de Uma Variável,LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Conversão de Energia Elétrica,4-0-4,Fenômenos Eletromagnéticos; Cálculo Vetorial e Tensorial,EENE - Engenharia de Energia (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Desenho Técnico,2-0-4,Não há,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Eletromagnetismo Aplicado,3-1-4,Fenômenos Eletromagnéticos; Circuitos Elétricos I,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Eletrônica Analógica e Digital,3-1-4,Circuitos Elétricos I,EBIO - Engenharia Biomédica (OBR)
Fundamentos de Fotônica,2-2-4,Fenômenos Eletromagnéticos,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Fundamentos de Geologia para Engenharia,2-1-2,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Fundamentos de Imunologia,2-2-4,Biologia Celular,BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Fundamentos de Máquinas Térmicas,4-0-4,Sistemas Térmicos; Termodinâmica Aplicada II,EENE - Engenharia de Energia (OBR)
Fundamentos de Morfofisiologia Humana,4-2-6,Biologia Celular; Histologia e Embriologia,LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Fundamentos de Processamento Gráfico,3-1-4,Programação Estruturada; Eletrônica Digital,EINF - Engenharia de Informação (OL)
Fundamentos de Robótica,3-1-4,Sistemas de Controle I,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Fundamentos de Sistemas Dinâmicos,4-0-4,Circuitos Elétricos I; Cálculo Vetorial e Tensorial,EENE - Engenharia de Energia (OBR)
Fundamentos de Sistemática Vegetal,3-3-3,Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia,LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Fundamentos de Zoologia de Invertebrados,4-2-3,Sistemática e Biogeografia,LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Fundamentos do Ensino de Geografia,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Fundamentos Psicoantropológicos da Educação,2-2-6,Não há,LM - Licenciatura em Matemática (OL)
Gênero Raça Classe e Sexualidade, 4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Genética I,4-2-4,Biologia Celular,BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Genética II,2-2-4,Biologia Celular; Genética I,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BBT - Bacharelado em Biotecnologia (OL)
Genômica e Pós-Genômica,4-2-6,Biologia Celular; Biologia Molecular e Biotecnologia,BBT - Bacharelado em Biotecnologia (OBR)
Geografia Agrária,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Geografia das Indústrias e Movimentos Operários no ABC,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Geografia Política,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OL);BRI - Bacharelado em Relações Internacionais (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Geografia Urbana,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Geologia e Paleontologia,2-2-4,Evolução e Diversificação da Vida na Terra,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Geometria Analítica,3-0-6,Bases Matemáticas,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Geometria Diferencial I,4-0-4,Topologia,BM - Bacharelado em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Geometria Diferencial II,4-0-4,Álgebra Linear Avançada I; Geometria Diferencial I,BM - Bacharelado em Matemática (OBR)
Geometria Não Euclidiana,4-0-4,Não há,BM - Bacharelado em Matemática (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Geometria Plana Axiomática,4-0-4,Não há,LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Geomorfologia,2-1-3,Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento; Geotecnia,EENE - Engenharia de Energia (OL);EAU - Engenharia Ambiental e Urbana (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Geotecnia,2-2-4,Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento,EAU - Engenharia Ambiental e Urbana (OBR)
Geotecnia Aplicada ao Planejamento Urbano-Ambiental,2-1-3,Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento; Geotecnia,EAU - Engenharia Ambiental e Urbana (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Geração de Vapor,4-0-4,Termodinâmica Aplicada I; Termodinâmica Aplicada II; Transferência de Calor I; Transferência de Calor II,EENE - Engenharia de Energia (OL)
Geração Distribuída,2-0-3,Engenharia Solar Fotovoltaica; Engenharia Eólica; Engenharia de Recursos Hídricos; Fundamentos de Máquinas Térmicas,EENE - Engenharia de Energia (OL)
Gerência de Ativos,2-0-3,Planejamento e Controle da Produção,EGES - Engenharia de Gestão (OBR)
Gerenciamento e Interoperabilidade de Redes,3-1-4,Redes de Computadores,BCC - Bacharelado em Ciências da Computação (OL);EINF - Engenharia de Informação (OL)
Gestão Ambiental Na Indústria,3-0-3,Não há,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OL)
Gestão da Inovação,2-2-6,Inovação Tecnológica,EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Gestão da Qualidade Segurança Saúde e Ambiental Aplicada em Projetos,2-0-4,Planejamento e Controle de Projetos,EGES - Engenharia de Gestão (OL)
Gestão de Custos Avançada,4-0-5,Custos,EGES - Engenharia de Gestão (OL)
Gestão de Operações,4-0-5,Planejamento e Controle da Produção,EGES - Engenharia de Gestão (OBR)
Gestão de Projetos Culturais,2-2-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Gestão de Projetos de Software,4-0-4,Processamento da Informação; Engenharia de Software,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Gestão de Tecnologia Hospitalar I,4-0-4,Equipamentos Médico-Hospitalares,EBIO - Engenharia Biomédica (OL)
Gestão de Tecnologia Hospitalar II,4-0-4,Gestão de Tecnologia Hospitalar I,EBIO - Engenharia Biomédica (OL)
Gestão Educacional: Políticas Processos e Cotidiano Escolar,4-0-6,Políticas educacionais; Didática; Estrutura e Dinâmica Social,LQ - Licenciatura em Química (OL)
Gestão Estratégica e Organizacional,2-0-2,Não há,EGES - Engenharia de Gestão (OL);BCC - Bacharelado em Ciências da Computação (OL)
Gestão Urbano-Ambiental,3-1-4,Regulação Ambiental e Urbanística; Cartografia e Geoprocessamento; Teoria do Planejamento Urbano e Ambiental,EAU - Engenharia Ambiental e Urbana (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Globalização e os processos de Integração Regional,4-0-4,Relações Internacionais e Globalização,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Governança Pública Democracia e Políticas No Território,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Governo Burocracia e Administração Pública,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Grupo Fundamental e Espaço de Recobrimento,4-0-4,Topologia; Grupos,BM - Bacharelado em Matemática (OL)
Grupos,4-0-4,Teoria Aritmética dos Números,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Habitação e Assentamentos Humanos,3-1-5,Cartografia e Geoprocessamento; Regulação Ambiental e Urbanística,EAU - Engenharia Ambiental e Urbana (OBR);BPT - Bacharelado em Planejamento Territorial (OL)
Hidráulica de Condutos Forçados,2-1-2,Fenômenos de Transporte; Cálculo Numérico,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Hidráulica de Condutos Livres,1-1-2,Fenômenos de Transporte; Cálculo Numérico,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Hidrogênio e Células a Combustível,4-0-4,Bases Conceituais da Energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Hidrologia,3-1-3,Introdução à Probabilidade e à Estatística,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Histologia e Embriologia,4-2-4,Biologia Celular,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
História Cultural,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
História da Astronomia,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
História da Cidade e do Urbanismo,4-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
História da Cidade e do Urbanismo,4-0-4,Não há,BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
História da Educação,4-0-4,Não há,LQ - Licenciatura em Química (OL);LFIS - Licenciatura em Física (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
História da Filosofia Antiga Clássica,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
História da Filosofia Antiga Helenística,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
História da Filosofia Contemporânea: o Século XIX,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
História da Filosofia Contemporânea: o Século XX,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
História da Filosofia da Antiguidade Tardia,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
História da Filosofia Medieval: do Século IV ao X,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL);BFIL - Bacharelado em Filosofia (OBR)
História da Filosofia Medieval: do Século XI ao XIV,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL);BFIL - Bacharelado em Filosofia (OBR)
